1 | Egg 1 | Lockman, Roob and Hilll | 4.7 | 672 | 29 | 0 | Jewelery-Tools-Electronics-Movies | 12 | 11.16 | 0 | 0 | Donnelly, D'Amore and Fritsch | 1 | 0 | Repellat mollitia ex nulla nemo quod ipsum et.\nDoloremque id officia illo nemo facere aliquam esse.\nEnim voluptas ut.\nDicta quod minus dolorem est.\nQuos aliquid aut sunt quisquam voluptates voluptatibus dolores quas ut. | 9 | 10.04 | http://www.pethealthnetwork.com/sites/default/files/styles/large/public/kittens-in-basket.jpg | color | Dark Goldenrod-Burly Wood
2 | Egg 2 | Lemke - Herzog | 1 | 737 | 10 | 0 | Beauty-Tools-Kids | 1122 | 987.36 | 0 | 0 | Wintheiser - Wyman | 1 | 0 | Enim maiores nulla iusto veniam sit quia et.\nLabore ab reiciendis nihil aliquid nemo excepturi cupiditate aut.\nEt et voluptas libero ullam et iure molestiae.\nAutem blanditiis non molestiae illum sed.\nOmnis fugiat aliquam ad repellendus animi ut. | 3 | 523.3 | http://www.villagevets.com/uploads/images/Belle1.jpg | size | 2-2.5-3-3.5
3 | Egg 3 | Koelpin LLC | 4.7 | 71 | 27 | 1 | Electronics-Grocery-Sports-Electronics | 19 | 16.53 | 1 | 0 | Smith Group | 1 | 1 | Quod sed sed.\nConsequatur vel eius numquam modi impedit quaerat aliquam.\nAutem dicta maiores beatae in fuga. | 1 | 9.59 | http://grza.net/GIS/Animals/Cats%20Kittens/Cat%20Kitten%20Fight.jpg | size | 4-4.5
4 | Egg 4 | Bergnaum LLC | 2.7 | 616 | 18 | 0 | Beauty-Kids-Computers-Shoes | 2661 | 2315.07 | 0 | 0 | VonRueden, Christiansen and Hackett | 1 | 0 | Maiores similique nam et vero perspiciatis quis doloremque qui.\nAut voluptate sit aut culpa voluptas consequatur qui.\nEst velit sed voluptatem.\nDebitis possimus velit repudiandae accusantium neque omnis ut. | 1 | 1921.51 | http://www.petmd.com/sites/default/files/happy-healthy-kitten.jpg | color | Light Grey-Dark Goldenrod-Burly Wood-Dark Slate Blue
5 | Egg 5 | Veum - Corwin | 2.4 | 117 | 20 | 0 | Home | 2514 | 2187.18 | 0 | 0 | Boyer and Sons | 1 | 0 | Delectus minus ad consectetur nihil animi nesciunt nesciunt rerum ipsam.\nUllam ipsa maxime possimus quae magnam.\nUllam impedit iure perspiciatis.\nSunt aut ea nobis ipsum alias vel. | 19 | 1487.28 | http://catvills.com/wp-content/uploads/2017/08/Why-cat-bring-kittens-to-bed-f.jpg | size | 1.5-2
6 | Egg 6 | Oberbrunner Group | 3.7 | 34 | 12 | 0 | Games-Grocery | 142 | 117.86 | 1 | 0 | Hane - Mills | 1 | 0 | Corporis qui quos esse sint tempora tempore hic sunt dolor.\nTotam fugiat corporis quia odit incidunt provident ipsa quibusdam.\nEveniet voluptate et et. | 14 | 88.4 | http://purrfectcatbreeds.com/wp-content/uploads/2016/05/male-vs-female-kittens.jpg | size | 1.5-2-2.5
7 | Egg 7 | Rau - Casper | 4.5 | 399 | 16 | 0 | Clothing-Movies | 304 | 246.24 | 1 | 0 | Doyle - Tromp | 1 | 1 | Consequatur facere qui repellat occaecati consequuntur aut velit quia.\nCorporis laudantium vel numquam necessitatibus.\nCumque ullam dignissimos et.\nSaepe quasi officiis. | 8 | 140.36 | http://static.cdnbridge.com/resources/18/160536/picture/83/85898883.jpg | color | Light Grey-Dark Goldenrod
8 | Egg 8 | Baumbach - Carter | 3.2 | 550 | 19 | 0 | Beauty-Shoes | 1635 | 1455.15 | 0 | 1 | Schulist LLC | 0 | 0 | Aut quia quia voluptas voluptatum rerum consectetur eveniet est.\nEt quis labore.\nRerum voluptas velit sapiente et quia tenetur qui.\nEligendi repudiandae architecto error vel repellendus sapiente. | 5 | 843.99 | http://i0.kym-cdn.com/photos/images/newsfeed/001/327/699/014.jpg | color | Dark Goldenrod-Burly Wood-Dark Slate Blue-Cornflower Blue-Powder Blue
9 | Egg 9 | Shields and Sons | 4.2 | 911 | 15 | 0 | Books-Garden-Industrial-Outdoors | 2201 | 1980.9 | 0 | 0 | Halvorson Inc | 1 | 0 | Ipsam aut non assumenda non ut cumque debitis iure voluptas.\nQuod placeat sunt blanditiis repellendus libero ratione in autem.\nUllam tenetur ut id ut aspernatur amet consequatur. | 7 | 1624.34 | http://www.bracpet.com/sites/default/files/cat-vaccinations.JPG | color | Burly Wood-Dark Slate Blue-Cornflower Blue-Powder Blue
10 | Egg 10 | Witting - Flatley | 2.7 | 231 | 13 | 1 | Baby-Grocery-Automotive-Toys-Electronics | 108 | 89.64 | 0 | 0 | Corkery LLC | 1 | 1 | Assumenda ad sit eos dolores atque repudiandae quam nam et.\nIusto perspiciatis quo aut neque qui consequatur.\nLibero quia dolore.\nAut animi vitae placeat architecto odio veniam minus expedita. | 17 | 49.3 | http://techwithkids.com/images/Little-Kitten-lead.jpg | size | 5-5.5-6-6.5-7
11 | Egg 11 | Ondricka and Sons | 2.8 | 919 | 16 | 1 | Outdoors-Music-Grocery-Home | 1276 | 1020.8 | 0 | 0 | Marquardt, Lehner and Stroman | 1 | 0 | Ipsa accusantium ut.\nNon officiis et amet illo sit quo sapiente consequatur placeat.\nTotam aliquam vitae libero fugiat reiciendis esse ex dolorem. | 2 | 541.02 | http://fixnation.org/wordpress/wp-content/uploads/2014/03/cats-kittens_00379052.jpg | size | 4
12 | Egg 12 | Schiller LLC | 4.9 | 980 | 21 | 0 | Grocery-Electronics | 2167 | 1820.28 | 0 | 0 | Rowe - Cormier | 1 | 0 | Itaque vel et pariatur in in aspernatur.\nPerferendis possimus sequi sunt.\nDignissimos adipisci omnis.\nSequi ducimus esse voluptatem quisquam eum animi. | 15 | 910.14 | http://www.tinykittens.com/uploads/cases/canada3.jpg | size | 1-1.5
13 | Egg 13 | Rempel Group | 4.8 | 69 | 30 | 1 | Home-Tools-Beauty-Industrial | 2516 | 2188.92 | 0 | 1 | Medhurst, Kuvalis and Thompson | 1 | 0 | Reiciendis vel corrupti amet.\nVoluptas et temporibus consequatur aperiam non nihil aut eaque sint. | 14 | 1094.46 | http://techwithkids.com/images/Little-Kitten-lead.jpg | size | 5.5-6
14 | Egg 14 | Hahn - Hoeger | 2 | 494 | 18 | 1 | Outdoors-Grocery-Books-Shoes | 386 | 358.98 | 0 | 0 | Romaguera, Stark and Torp | 1 | 0 | Nesciunt repellendus laudantium et.\nVel quisquam quaerat voluptates. | 11 | 341.03 | http://www.villagevets.com/uploads/images/Belle1.jpg | size | 2-2.5
15 | Egg 15 | Deckow - Dooley | 4.6 | 81 | 16 | 0 | Clothing-Tools-Outdoors | 2 | 1.8 | 0 | 0 | Ferry - Emard | 1 | 0 | Sequi et repellendus velit eum modi.\nArchitecto autem autem ea ullam aperiam nulla. | 19 | 0.94 | http://static.cdnbridge.com/resources/18/160536/picture/83/85898883.jpg | size | 3.5
16 | Egg 16 | Kiehn, Braun and Gutmann | 4.7 | 435 | 24 | 0 | Beauty-Garden | 1896 | 1535.76 | 0 | 0 | Trantow - Hayes | 0 | 1 | Nam voluptatem atque harum.\nLibero at aperiam aut dignissimos qui.\nAdipisci qui porro aliquid.\nAssumenda sed qui facilis.\nNecessitatibus et non cum facilis. | 3 | 767.88 | http://www.pethealthnetwork.com/sites/default/files/what-vaccines-does-my-new-kitten-need-175636241.jpg | color | Fire Brick-Light Grey
17 | Egg 17 | Runte, Graham and Renner | 4.7 | 526 | 9 | 1 | Computers-Outdoors-Health | 7 | 5.88 | 0 | 0 | Lang, Reinger and Leannon | 0 | 0 | Distinctio ea delectus aut dolorum ut eaque sint.\nUt minima optio officia minus adipisci fugiat et.\nPlaceat laudantium ad pariatur neque provident assumenda.\nAccusantium quia quia libero architecto repellendus.\nSit ut itaque molestiae ut ex illum. | 1 | 5 | http://purrfectcatbreeds.com/wp-content/uploads/2016/05/male-vs-female-kittens.jpg | color | Yellow-Orange-Light Steel Blue
